component_id,component_type,adi,cv2,unit_price,annual_demand,true_class
COMP-0420,motor,1.6228,1.527,1802.43,3.2,lumpy
COMP-0421,seal,3.2451,2.1856,628.39,111.5,lumpy
COMP-0422,valve,3.249,1.8572,4463.78,161.3,lumpy
COMP-0423,motor,2.1665,1.4672,4660.4,136.7,lumpy
COMP-0424,seal,4.4212,1.2379,2440.71,22.4,lumpy
COMP-0425,bearing,2.4358,1.2852,3828.95,20.3,lumpy
COMP-0426,valve,4.3252,1.7948,3789.17,165.8,lumpy
COMP-0427,motor,3.6269,1.5172,4785.29,117.9,lumpy
COMP-0428,filter,3.4595,1.2713,4988.36,32.9,lumpy
COMP-0429,pump,2.0275,1.4401,254.88,81.5,lumpy
COMP-0430,filter,3.2072,1.5156,3603.88,128.7,lumpy
COMP-0431,bearing,3.8498,1.5809,514.95,55.4,lumpy
COMP-0432,filter,3.0349,1.9904,461.14,118.9,lumpy
COMP-0433,seal,2.0874,1.7611,2960.9,68.4,lumpy
COMP-0434,filter,2.7834,1.9758,2603.57,74.3,lumpy
COMP-0435,valve,1.5562,0.786,4721.28,101.5,lumpy
COMP-0436,seal,2.128,0.7245,4080.5,77.3,lumpy
COMP-0437,motor,3.7948,1.8745,4795.89,81.0,lumpy
COMP-0438,filter,1.5579,2.0734,2615.49,110.9,lumpy
COMP-0439,valve,2.0564,1.9021,3418.24,190.1,lumpy
COMP-0440,bearing,4.2786,1.1647,2666.75,128.8,lumpy
COMP-0441,valve,2.8341,1.2426,1171.33,167.5,lumpy
COMP-0442,bearing,1.8521,0.9241,1083.5,33.5,lumpy
COMP-0443,seal,3.1463,1.1574,763.46,182.8,lumpy
COMP-0444,motor,4.1977,1.918,3104.53,128.2,lumpy
COMP-0445,motor,3.5405,0.5772,3909.51,76.1,lumpy
COMP-0446,filter,1.4384,1.3911,2190.58,68.6,lumpy
COMP-0447,bearing,2.1745,1.4204,872.91,64.6,lumpy
COMP-0448,motor,2.3113,1.4465,3222.26,190.1,lumpy
COMP-0449,motor,2.1179,1.68,3092.17,136.0,lumpy
COMP-0450,bearing,3.7149,1.4023,1986.37,9.2,lumpy
COMP-0451,seal,1.7099,1.6307,2792.34,150.5,lumpy
COMP-0452,bearing,3.963,1.4496,3486.66,171.9,lumpy
COMP-0453,pump,2.0144,1.9258,29.43,89.6,lumpy
COMP-0454,valve,2.4365,0.8239,2017.83,153.8,lumpy
COMP-0455,pump,4.1687,1.6267,4567.46,18.7,lumpy
COMP-0456,seal,2.6613,2.1051,2061.9,133.8,lumpy
COMP-0457,pump,2.5668,1.8343,3333.6,70.9,lumpy
COMP-0458,valve,4.1486,1.9018,3866.75,55.0,lumpy
COMP-0459,gasket,2.9322,0.8758,4511.73,175.6,lumpy
COMP-0460,pump,4.3747,0.9268,2860.35,85.1,lumpy
COMP-0461,filter,3.1372,1.1153,421.32,99.8,lumpy
COMP-0462,valve,4.1521,1.5898,2148.68,93.4,lumpy
COMP-0463,filter,2.0488,1.9078,3802.33,115.4,lumpy
COMP-0464,pump,4.0751,1.0302,3649.76,160.0,lumpy
COMP-0465,valve,3.4602,1.9465,4071.44,149.2,lumpy
COMP-0466,seal,2.8039,2.0795,2831.67,22.1,lumpy
COMP-0467,motor,2.0999,1.9371,1237.45,98.8,lumpy
COMP-0468,seal,3.9504,2.0152,3075.27,90.0,lumpy
COMP-0469,valve,2.6358,1.3286,2366.0,163.7,lumpy
COMP-0470,gasket,3.7115,1.1133,4269.72,31.5,lumpy
COMP-0471,seal,3.2063,1.0208,3360.3,51.8,lumpy
COMP-0472,valve,2.9845,2.1153,4379.94,197.4,lumpy
COMP-0473,gasket,4.112,0.8237,1972.58,174.3,lumpy
COMP-0474,bearing,3.5351,1.429,4063.36,142.2,lumpy
COMP-0475,seal,2.8521,2.0226,3217.59,194.4,lumpy
COMP-0476,valve,2.1665,0.962,4304.21,46.1,lumpy
COMP-0477,motor,2.9994,2.1894,1782.85,82.7,lumpy
COMP-0478,pump,1.9206,1.7723,691.95,79.3,lumpy
COMP-0479,valve,4.168,0.5545,1677.13,55.1,lumpy
COMP-0480,gasket,2.8261,0.8495,3536.41,115.5,lumpy
COMP-0481,valve,1.6886,1.9433,1809.22,156.8,lumpy
COMP-0482,pump,2.0394,0.858,174.35,45.8,lumpy
COMP-0483,motor,3.9119,2.0388,3495.16,135.2,lumpy
COMP-0484,motor,3.0278,1.6271,511.6,63.8,lumpy
COMP-0485,bearing,1.6246,2.1089,4207.19,198.2,lumpy
COMP-0486,filter,1.9015,1.8692,253.89,151.1,lumpy
COMP-0487,bearing,2.4996,1.6202,684.75,24.3,lumpy
COMP-0488,valve,1.7203,1.6024,1091.0,138.7,lumpy
COMP-0489,gasket,3.5292,1.4396,4180.96,16.0,lumpy
COMP-0490,seal,3.6935,2.1809,2902.53,125.7,lumpy
COMP-0491,seal,2.4952,1.6712,2467.39,13.2,lumpy
COMP-0492,motor,3.2472,0.7464,1650.61,146.5,lumpy
COMP-0493,seal,2.2311,0.8932,151.18,112.2,lumpy
COMP-0494,bearing,2.2759,1.5346,4617.33,58.3,lumpy
COMP-0495,motor,3.5054,0.6392,3697.98,93.6,lumpy
COMP-0496,motor,2.082,1.8907,1117.55,90.8,lumpy
COMP-0497,seal,2.8347,1.9136,3252.64,54.8,lumpy
COMP-0498,filter,2.5523,0.6253,2170.66,88.2,lumpy
COMP-0499,motor,2.1606,0.8956,330.4,153.7,lumpy
COMP-0500,valve,2.5671,1.1774,4077.07,64.8,lumpy
